analysis_family,spec_id,description,N_consumers,N_obs,predictor,outcome,beta_B,SE_B,beta_W,SE_W,cov_BW,CDI,SE_CDI,CI_low,CI_high,CDI_star,p_value,bootstrap_B,bootstrap_seed,representation,time_metric,activity_adjustment,sample_rule,evidence_role
Frozen reproduction,PRIMARY_REWB_W10,"Frozen primary REWB/Mundlak (Study 1, W=10); Phase 0 gate 41/41 checks PASS + 13/13 frozen-artifact cross-checks PASS",60423,242771,maxshare,entropy,-2.9957316191056553,0.019436103005973204,-3.5131514880949757,0.010950613646832716,2.9254615580230448e-05,0.5174198689893204,0.02095635483905869,0.47571177306949497,0.5572581285839172,0.11319907179393626,1.3575967795645716e-134,2000,20260915,maxshare,none,none,MIN_RECORDS=20; >= 3 valid waves,frozen_primary
Activity portability,ACTIVITY_BASELINE_W10,Baseline refit inside activity module; bit-identical to frozen primary (max|diff| vs frozen beta = 2e-14),60423,242771,maxshare,entropy,-2.9957316191056558,0.019436103005973204,-3.5131514880949752,0.010950613646832716,2.9254615580230448e-05,0.5174198689893195,0.02095635483905869,0.47571177306949497,0.5572581285839172,0.11319907179393626,1.3575967795645716e-134,2000,20260915,maxshare,none,none,MIN_RECORDS=20; >= 3 valid waves,activity_module_baseline
Activity portability,ACTIVITY_REWB_W10,"Activity-conditioned REWB, Mundlak between+within decomposition of A=log(1+n_click); gamma_B=+0.15064838031732733 (SE 0.0037050283760629125), gamma_W=+0.16695112417581656 (SE 0.0005627855368028369), R2=0.6496207997491348; label ACTIVITY_REVERSAL; paired delta_CDI=-0.9985735938206663 BCa [-1.0187340124, -0.9780177422]",60423,242771,maxshare,entropy,-2.637736796590646,0.021302694178947423,-2.1565830717592993,0.008912440411685917,5.554165447693806e-06,-0.4811537248313469,0.022850121279289197,-0.5277787599890016,-0.43886330188383993,-0.10526490826008014,1.975119110363637e-98,2000,20260915,maxshare,none,Mundlak between+within activity decomposition,MIN_RECORDS=20; >= 3 valid waves,new_result_sensitivity
Temporal portability,T0_FROZEN_BASELINE,"T0 frozen baseline (no time conditioning); numerically identical to PRIMARY_REWB_W10; CI=BCa consumer-cluster bootstrap B=2000 seed=20260915; Wald95=[0.4763461683,0.5584935697]",60423,242771,maxshare,entropy,-2.9957316191056553,0.019436103005973204,-3.5131514880949757,0.010950613646832716,2.9254615580230448e-05,0.51741986898932035,0.020956354839058691,0.47571177307016604,0.55725812858389634,0.11319907179393626,1.3575967795645716e-134,2000,20260915,maxshare,none (no time conditioning),none,MIN_RECORDS=20; >= 3 valid waves,temporal_audit_frozen_baseline
Temporal portability,T1_WAVE_POSITION_FE,"T1 relative wave-position FE (9 indicators win=1..9, ref win=0; win = decile bin of consumer's own activity span, NOT calendar); equals frozen D2; Wald chi2(1)=1386.6349561715099; CI=BCa consumer-cluster bootstrap B=2000 seed=20260915; Wald95=[-0.8501868042,-0.7651642889]",60423,242771,maxshare,entropy,-3.0407797174966689,,-2.2331041709172004,,,-0.8076755465794685,0.021689815715729914,-0.8509088705425788,-0.76480474528115772,-0.17670006055631982,,2000,20260915,maxshare,relative wave position (decile bin of own span),none,MIN_RECORDS=20; >= 3 valid waves,temporal_audit_conditioned
Competing generative regimes,SIM_BASELINE_SLOW_MEMORY_S7,regime=baseline_slow_memory seed=7; split_half_signature=-0.5446635021024064; source=frozen_simA_results; CI_excludes_zero=False; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-4.87269032406704,0.033963034810712424,-4.9047856682736715,0.025656587391108043,,0.03209534420663118,0.05337672979386981,-0.07252304618935364,0.136713734602616,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.5476412303086217,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_DYNAMIC_ANCHOR_S7,regime=dynamic_anchor seed=7; split_half_signature=-0.343951313797833; source=frozen_simA_results; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-7.998917781025405,0.07604000458670496,-4.792037492406448,0.04156719326098459,,-3.206880288618957,0.08612923965275575,-3.3756935983383585,-3.038066978899556,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,1.9705646499088662e-303,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_IDEAL_BENCHMARK_S7,regime=ideal_benchmark seed=7; split_half_signature=0.15924384309786604; source=frozen_simA_results; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-14.577104732180578,0.19554561100610768,-5.135965358467525,0.07265871521510302,,-9.441139373713053,0.14290013932290044,-9.721223646785939,-9.161055100640167,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.0,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_RANDOM_BENCHMARK_S7,regime=random_benchmark seed=7; split_half_signature=0.1743296548586398; source=frozen_simA_results; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-14.54152690451512,0.22393868424464167,-5.429369813836648,0.08898551371420517,,-9.112157090678473,0.16661029921399756,-9.438713277137907,-8.785600904219038,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.0,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
Competing generative regimes,SIM_BASELINE_SLOW_MEMORY_S11,regime=baseline_slow_memory seed=11; split_half_signature=-0.5516308198023607; source=frozen_simA_seeds; CI_excludes_zero=True; GENERATIVE module (not mechanism validation),25467,,simulated maxshare analog,simulated entropy analog,-4.8320239994911445,0.03372910569001296,-4.956403603288781,0.025576492047456736,,0.12437960379763613,0.05291469584916471,0.020666799933273305,0.22809240766199895,NOT_COMPUTED_DEFINITION_NOT_ARCHIVED,0.01874476990526051,,,simulated panel,simulated periods,none,simulation N=25467 T=100 K=1000,generative_simulation
