spec_id,family,canonical_or_construct,description,horizon,min_records,min_valid_waves,predictor,outcome,controls,N_consumers,N_observations,beta_B,SE_beta_B,beta_W,SE_beta_W,cov_BW,corr_BW,CDI,SE_CDI,Wald,p_value,boot_mean,boot_median,boot_SD,boot_pct_L,boot_pct_U,boot_BCa_L,boot_BCa_U,boot_prop_positive,boot_skew,boot_excess_kurtosis,s_X,s_Y,beta_B_std,beta_W_std,CDI_std,delta_beta_B,delta_beta_W,delta_CDI,admissible,warning
A1,A,canonical,Temporal: W=5 (Task 3 frozen import),5,20,3,maxshare,entropy,none,39650,136152,-2.951736649947354,0.02247474963496553,-3.6819127281749564,0.014445324837241655,4.792117994457446e-05,0.1476064475185986,0.7301760782276023,0.024858387335438013,862.7983377775429,1.2000655260656152e-189,0.7304419566842809,0.7303246257111049,0.025108529236103762,0.6811434877054383,0.7785706976075681,0.681146659104796,0.7785919056084357,1.0,-0.037862817048294736,-0.17968378670135987,0.13363582729708307,0.6164701436941968,-0.6398651633233157,-0.798149688996775,0.15828452567345935,0.04399496915828216,-0.16876124007996562,0.21275620923824778,yes,imported from Task 3 frozen values
A2,A,canonical,Temporal: W=10 Primary (Task 0/1 frozen),10,20,3,maxshare,entropy,none,60423,242771,-2.9957316191056362,0.019436103005972642,-3.513151488094991,0.010950613646832847,2.9254615580230414e-05,0.1374506338431407,0.5174198689893545,0.02095635483905824,609.6136971988641,1.3575967794918705e-134,0.5180778993739598,0.5180771607510752,0.020630826999932794,0.4770707866045151,0.5588388551403864,0.4757117730689103,0.5572581285838129,1.0,0.02398041698365048,0.0005762358001368817,0.1297658705839642,0.5931447907900295,-0.6553943111788451,-0.7685933829727888,0.11319907179394374,0.0,0.0,0.0,yes,frozen primary
A3,A,canonical,Temporal: W=20 (Task 3 frozen import),20,20,3,maxshare,entropy,none,72166,348585,-2.9178006421285985,0.01800944727646719,-3.3504864141439574,0.00900645224448052,1.658191007788303e-05,0.10223048493788289,0.43268577201535896,0.01929488411678582,502.87596610668635,2.250202852963655e-111,0.43185696158398273,0.43213929858811895,0.019085596961049032,0.3938421249672764,0.4693682400051334,0.3950849364233762,0.4700106251553062,1.0,-0.025989577798715236,0.022332610094269345,0.12807303082924396,0.5731858188080293,-0.651955368278363,-0.7486349726934505,0.0966796044150875,0.07793097697703777,0.16266507395103336,-0.08473409697399559,yes,imported from Task 3 frozen values
B1,B,canonical,"Primary: MIN_RECORDS=20, >=3 valid windows",10,20,3,maxshare,entropy,none,60423,242771,-2.995731619105635,0.01943610300597261,-3.51315148809499,0.010950613646832839,2.9254615580230207e-05,0.13745063384314007,0.517419868989355,0.020956354839058215,609.6136971988665,1.3575967794902445e-134,0.5180778993742833,0.5180771607514534,0.020630826999937867,0.477070786604522,0.5588388551406934,0.4757117730701663,0.5572581285838989,1.0,0.023980416983088323,0.0005762357963394749,0.1297658705839642,0.5931447907900295,-0.6553943111788447,-0.7685933829727886,0.11319907179394384,1.3322676295501878e-15,8.881784197001252e-16,4.440892098500626e-16,yes,
B2,B,canonical,Higher-history support: MIN_RECORDS=30,10,30,3,maxshare,entropy,none,59704,240512,-3.0126546192551227,0.019866167446973816,-3.5295417086356657,0.010986197264851907,3.087044431661635e-05,0.14144297936535077,0.5168870893805431,0.02129836263049836,588.9778129003784,4.180702605269183e-130,0.5176572144780014,0.5178230124925385,0.021011908394459225,0.47606429122063937,0.5583407491700695,0.47452254969248775,0.5576730493050045,1.0,0.04061035300737967,0.005361447429610866,0.1286486031141263,0.5921997071674369,-0.6544647080058587,-0.7667525075635377,0.11228779955767909,-0.016923000149486445,-0.01639022054067496,-0.0005327796088114845,yes,
B3,B,canonical,High-history support: MIN_RECORDS=40,10,40,3,maxshare,entropy,none,58351,236161,-3.032468202774477,0.02047705876317297,-3.551687507656764,0.011089034265120203,3.202534782209424e-05,0.14103683493109084,0.5192193048822871,0.021868377188974504,563.7266295954491,1.3000393756734343e-124,0.5189288211971882,0.5187022581650222,0.021088363007456756,0.4776554094094785,0.5602052947964286,0.47827065348785486,0.5615800512633415,1.0,0.012208938643734549,-0.09779509102129014,0.12766100741852018,0.5920335875024004,-0.6538952415926055,-0.7658552062494212,0.11195996465681567,-0.036736583668840694,-0.038536019561773216,0.0017994358929325216,yes,
B4,B,canonical,Stronger valid-wave support: >=4 valid windows,10,20,4,maxshare,entropy,none,34174,164024,-3.128737193865195,0.02889151315369939,-3.6321418555252643,0.013466573268083629,5.8717173095975853e-05,0.15091685707980199,0.5034046616600691,0.029977221047039995,282.0016991802959,2.750405045073812e-63,0.5029101957706708,0.5031754637820081,0.030185107493354752,0.44328586705451384,0.5613978746404164,0.44438735795899464,0.562688899112231,1.0,-0.007362548294775369,0.086742498278372,0.12781112545556145,0.5997599753438595,-0.6667457623748883,-0.7740232050376153,0.1072774426627272,-0.13300557475955888,-0.11899036743027347,-0.014015207329285406,yes,
C1,C,canonical,Primary outcome: raw entropy,10,20,3,maxshare,entropy,none,60423,242771,-2.995731619105635,0.01943610300597261,-3.51315148809499,0.010950613646832839,2.9254615580230207e-05,0.13745063384314007,0.517419868989355,0.020956354839058215,609.6136971988665,1.3575967794902445e-134,0.5180778993742833,0.5180771607514534,0.020630826999937867,0.477070786604522,0.5588388551406934,0.4757117730701663,0.5572581285838989,1.0,0.023980416983088323,0.0005762357963394749,0.1297658705839642,0.5931447907900295,-0.6553943111788447,-0.7685933829727886,0.11319907179394384,1.3322676295501878e-15,8.881784197001252e-16,4.440892098500626e-16,yes,
C2,C,canonical,"Normalized entropy: H / log(K_PLATFORM), constant platform-catalog rescale",10,20,3,maxshare,entropy_norm,none,60423,242771,-0.6917377228558637,0.004487947301019394,-0.8112139935779823,0.0025285818327731133,1.5598093124639695e-06,0.13745063384313896,0.11947627072211864,0.004838985269333806,609.6136971988586,1.3575967794955868e-134,0.11962821505421285,0.11962804450046843,0.004763818360280728,0.11015935388279327,0.12904023665989814,0.10984554709113073,0.1286752346073971,1.0,0.023980416981083375,0.0005762357959184783,0.1297658705839642,0.13696174393199032,-0.6553943111788446,-0.7685933829727885,0.1131990717939438,2.3039938962497724,2.7019374945170087,-0.3979435982672359,yes,
D1,D,canonical,Primary REWB/Mundlak,10,20,3,maxshare,entropy,none,60423,242771,-2.995731619105635,0.01943610300597261,-3.51315148809499,0.010950613646832839,2.9254615580230207e-05,0.13745063384314007,0.517419868989355,0.020956354839058215,609.6136971988665,1.3575967794902445e-134,0.5180778993742833,0.5180771607514534,0.020630826999937867,0.477070786604522,0.5588388551406934,0.4757117730701663,0.5572581285838989,1.0,0.023980416983088323,0.0005762357963394749,0.1297658705839642,0.5931447907900295,-0.6553943111788447,-0.7685933829727886,0.11319907179394384,1.3322676295501878e-15,8.881784197001252e-16,4.440892098500626e-16,yes,
D2,D,canonical,Time-effects sensitivity: wave fixed effects,10,20,3,maxshare,entropy,"wave FE (window indicators, ref=first window)",60423,242771,-3.0407797174966515,0.01996848029643451,-2.2331041709172044,0.009948819867109486,1.3635558157483309e-05,0.06863669107468813,-0.8076755465794472,0.02168981571572979,1386.6349561714528,1.6853550706243314e-303,-0.8070880859146248,-0.8076277180694444,0.021547609351342898,-0.8511878965221983,-0.7649505343493008,-0.8509088705425766,-0.7648047452811587,0.0,-0.024098230604275992,-0.008181538400280797,0.1297658705839642,0.5931447907900295,-0.6652497559144821,-0.488549695358167,-0.17670006055631515,-0.04504809839101531,1.2800473171777864,-1.3250954155688017,yes,
