spec_id,family,description,predictor,outcome,sample_rule,window,time_conditioning,activity_conditioning,representation,lag,N_consumers,N_obs,beta_B,SE_B,beta_W,SE_W,cov_BW,CDI,SE_CDI,CI_low,CI_high,CDI_star,sign_B,sign_W,sign_CDI,CI_excludes_zero,notes
D1,F0 Focal baseline (anchor),Primary REWB/Mundlak,maxshare,entropy,MIN_RECORDS=20; >= 3 valid waves,W10,none,none,maxshare,none,60423,242771,-2.995731619105635,0.01943610300597261,-3.51315148809499,0.010950613646832839,2.9254615580230207e-05,0.517419868989355,0.020956354839058215,0.4757117730701663,0.5572581285838989,0.11319907179394384,-1,-1,1,True,"same-direction component slopes; positive CDI; CI excludes zero; ordering preserved vs focal A2 | primary REWB/Mundlak, numerically identical to A2/B1/C1/E1; family F0 confirmed by main session 2026-09-20 (D-line placement: D1->F0 focal anchor; envelope 15 rows all retained; 13-vs-15 discrepancy declared in inclusion_check.md, unchanged)"
A1,F1 Temporal granularity,Temporal: W=5 (Task 3 frozen import),maxshare,entropy,MIN_RECORDS=20; >= 3 valid waves,W5,none,none,maxshare,none,39650,136152,-2.951736649947354,0.02247474963496553,-3.6819127281749564,0.014445324837241655,4.792117994457446e-05,0.7301760782276023,0.024858387335438013,0.681146659104796,0.7785919056084357,0.15828452567345935,-1,-1,1,True,same-direction component slopes; positive CDI; CI excludes zero; ordering preserved vs focal A2 | imported from Task 3 frozen values
A2,F1 Temporal granularity,Temporal: W=10 Primary (Task 0/1 frozen),maxshare,entropy,MIN_RECORDS=20; >= 3 valid waves,W10,none,none,maxshare,none,60423,242771,-2.9957316191056362,0.019436103005972642,-3.513151488094991,0.010950613646832847,2.9254615580230414e-05,0.5174198689893545,0.02095635483905824,0.4757117730689103,0.5572581285838129,0.11319907179394374,-1,-1,1,True,same-direction component slopes; positive CDI; CI excludes zero; focal reference | frozen primary
A3,F1 Temporal granularity,Temporal: W=20 (Task 3 frozen import),maxshare,entropy,MIN_RECORDS=20; >= 3 valid waves,W20,none,none,maxshare,none,72166,348585,-2.9178006421285985,0.01800944727646719,-3.3504864141439574,0.00900645224448052,1.658191007788303e-05,0.43268577201535896,0.01929488411678582,0.3950849364233762,0.4700106251553062,0.0966796044150875,-1,-1,1,True,same-direction component slopes; positive CDI; CI excludes zero; ordering preserved vs focal A2 | imported from Task 3 frozen values
D2,F2 Temporal conditioning,Time-effects sensitivity: wave fixed effects,maxshare,entropy,MIN_RECORDS=20; >= 3 valid waves,W10,"wave FE (window indicators, ref=first window)",none,maxshare,none,60423,242771,-3.0407797174966515,0.01996848029643451,-2.2331041709172044,0.009948819867109486,1.3635558157483309e-05,-0.8076755465794472,0.02168981571572979,-0.8509088705425766,-0.7648047452811587,-0.17670006055631515,-1,-1,-1,True,same-direction component slopes; negative CDI; CI excludes zero; ordering reversed vs focal A2
T2a,F2 Temporal conditioning,"Elapsed-time adjustment: continuous months since first observation (per-user relative clock; pre-declared continuous form, no form shopping)",maxshare,entropy,MIN_RECORDS=20; >= 3 valid waves,W10 (focal grid),elapsed months = (window_start_ts - user_tmin_ts)/86400/30.44 (continuous; per-user relative clock),none,maxshare,none,60423,242771,-2.8510005762589627,0.018300278078604057,-2.8502707286353353,0.011040768239607052,3.4711203793413202e-05,-0.00072984762362748867,0.019681878301832011,-0.040235491317033398,0.036745087857810978,-0.00015967317549482645,-1,-1,-1,False,"same-direction component slopes; negative CDI (nominal, |CDI|=0.0007298476); CI overlaps zero; CDI statistically indistinguishable from 0 (Wald chi2(1)=0.0013750905970899244, p=0.97041945342527591); ordering vs focal A2 not resolvable | input to final label TEMPORAL_METRIC_DEPENDENCE (Phase 9, G line) | CI = BCa consumer-cluster bootstrap B=2000 seed=20260915 | gamma_elapsed_months=-0.7516677806 (SE 0.0064856665) | backfilled final from 04_temporal_portability/t2_full_results.csv"
T2b,F2 Temporal conditioning,"Elapsed-time adjustment: integer elapsed-month fixed effects (ref = month 0; sparse cells reported as-is, not merged)",maxshare,entropy,MIN_RECORDS=20; >= 3 valid waves,W10 (focal grid),"integer elapsed-month FE (floor(elapsed_months); levels 0/1/2, ref=0; per-user relative clock)",none,maxshare,none,60423,242771,-2.990846814561773,0.019443856464046061,-3.5094352295843154,0.010959006783287796,2.9933222901883267e-05,0.51858841502254238,0.020935542459339505,0.47701360589245895,0.55871388956133383,0.11345472167179581,-1,-1,1,True,"same-direction component slopes; positive CDI; CI excludes zero; ordering preserved vs focal A2 | CDI ~ T0 baseline (0.5185884150 vs 0.5174198690): elapsed-time result is functional-form sensitive (continuous form collapses to ~0, integer-FE form preserves baseline) | month cell obs 0/1/2 = 241686/1070/15 (month 2 sparse, kept unmerged; month_1=-0.1087864682 SE 0.0109217769, month_2=-0.2200433952 SE 0.0599160078) | Wald chi2(1)=613.5884621548521 | CI = BCa consumer-cluster bootstrap B=2000 seed=20260915 | backfilled final from 04_temporal_portability/t2_full_results.csv"
T3,F2 Temporal conditioning,Calendar-period FE (period definition fixed by Phase 2 timestamp audit),maxshare,entropy,per Phase 1/2 spec (TBD by owning line),W10 (focal grid),calendar-period FE (calendar month of window midpoint),none,maxshare,none,,,,,,,,,,,,,,,,,"NOT_IDENTIFIABLE_DATASET_PROPERTY: raw timestamps are per-user relative clocks (98.8448% of users tmin=0, max tmin=934s); no shared calendar axis across users; calendar-period FE structurally unidentifiable -- a dataset property, not a missing-data problem; E20F extraction closed the elapsed-time gap (T2) but cannot manufacture calendar time (T3) | verdict per 04_temporal_portability/results_temporal_portability.csv and temporal_report.md v2.3 (G line, 2026-09-20)"
B1,F4 Sample support,"Primary: MIN_RECORDS=20, >=3 valid windows",maxshare,entropy,MIN_RECORDS=20; >= 3 valid waves,W10,none,none,maxshare,none,60423,242771,-2.995731619105635,0.01943610300597261,-3.51315148809499,0.010950613646832839,2.9254615580230207e-05,0.517419868989355,0.020956354839058215,0.4757117730701663,0.5572581285838989,0.11319907179394384,-1,-1,1,True,same-direction component slopes; positive CDI; CI excludes zero; ordering preserved vs focal A2 | numerically identical to focal A2 (duplicate anchor row in frozen grid)
ACT1,F3 Activity/opportunity conditioning,"Activity-conditioned REWB: Mundlak decomposition of A=log(1+N_events) (gamma_B on A-bar, gamma_W on within deviation)",maxshare,entropy,MIN_RECORDS=20; >= 3 valid waves,W10 (focal grid),none,Mundlak between+within activity decomposition,maxshare,none,60423,242771,-2.637736796590646,0.021302694178947423,-2.1565830717592993,0.008912440411685917,5.554165447693806e-06,-0.4811537248313469,0.022850121279289197,-0.5277787599890016,-0.43886330188383993,-0.10526490826008014,-1,-1,-1,True,"same-direction component slopes; negative CDI; CI excludes zero; ordering reversed vs focal A2 | label ACTIVITY_REVERSAL (Phase 9 decision tree: sign change + to -) | CI = BCa consumer-cluster bootstrap B=2000 seed=20260915 | gamma_B=+0.15064838031732733 (SE 0.0037050283760629125), gamma_W=+0.16695112417581656 (SE 0.0005627855368028369), R2=0.6496207997491348 | paired delta_CDI=-0.9985735938206663 BCa [-1.0187340124, -0.9780177422] (excludes 0) | backfilled Wave2 from 03_activity_portability/results_activity_rewb.csv"
