batch,share,delta,K,seed,rho_within,r_between,CDI
main10,0.3,0.003,1000,23,-0.1621,0.2373,0.3995
main10,0.3,0.003,1000,29,-0.152,0.2455,0.3975
main10,0.3,0.003,1000,31,-0.1457,0.2618,0.4076
main10,0.3,0.003,1000,37,-0.1557,0.2469,0.4026
grid,0.2,0.0025,1000,3,0.1278,0.5075,0.3797
grid,0.2,0.0025,1000,7,0.1012,0.506,0.4047
grid,0.2,0.0025,1000,11,0.1379,0.5064,0.3684
grid,0.2,0.003,1000,3,0.0802,0.3851,0.3049
grid,0.2,0.003,1000,7,0.0391,0.3773,0.3382
grid,0.2,0.003,1000,11,0.0699,0.3904,0.3205
grid,0.2,0.008,1000,3,-0.258,-0.2326,0.0254
grid,0.2,0.008,1000,7,-0.2848,-0.246,0.0388
grid,0.2,0.008,1000,11,-0.2576,-0.2316,0.026
grid,0.3,0.0025,1000,3,-0.043,0.3856,0.4286
grid,0.3,0.0025,1000,7,-0.0899,0.3474,0.4373
grid,0.3,0.0025,1000,11,-0.0688,0.3856,0.4544
grid,0.3,0.003,1000,3,-0.1359,0.2631,0.399
grid,0.3,0.003,1000,7,-0.2049,0.231,0.4359
grid,0.3,0.003,1000,11,-0.1418,0.2668,0.4086
grid,0.3,0.008,1000,3,-0.2578,-0.2083,0.0495
grid,0.3,0.008,1000,7,-0.2717,-0.2216,0.0501
grid,0.3,0.008,1000,11,-0.2409,-0.2008,0.0401
grid,0.5,0.0025,1000,3,-0.2733,0.2201,0.4934
grid,0.5,0.0025,1000,7,-0.3113,0.1514,0.4628
grid,0.5,0.0025,1000,11,-0.309,0.1745,0.4835
grid,0.5,0.003,1000,3,-0.3952,0.1075,0.5027
grid,0.5,0.003,1000,7,-0.4193,0.0471,0.4664
grid,0.5,0.003,1000,11,-0.4195,0.0701,0.4896
grid,0.5,0.008,1000,3,-0.1489,-0.1765,-0.0275
grid,0.5,0.008,1000,7,-0.1698,-0.2014,-0.0316
grid,0.5,0.008,1000,11,-0.134,-0.1849,-0.0509
Ksweep,0.3,0.003,100,3,-0.0443,0.0379,0.0822
Ksweep,0.3,0.003,100,7,-0.1121,-0.0109,0.1011
Ksweep,0.3,0.003,100,11,-0.0763,0.0297,0.106
Ksweep,0.3,0.003,1000,3,-0.1359,0.2631,0.399
Ksweep,0.3,0.003,1000,7,-0.2049,0.231,0.4359
Ksweep,0.3,0.003,1000,11,-0.1418,0.2668,0.4086
Ksweep,0.3,0.003,10000,3,-0.0898,0.3268,0.4166
main10,0.3,0.003,1000,3,-0.1646,0.2415,0.4061
main10,0.3,0.003,1000,11,-0.1605,0.253,0.4135
main10,0.3,0.003,1000,13,-0.1409,0.2606,0.4014
main10,0.3,0.003,1000,17,-0.1577,0.2471,0.4048
main10,0.3,0.003,1000,19,-0.1536,0.2466,0.4002
main10,0.3,0.003,1000,7,-0.1484,0.2663,0.4147
Ksweep,0.3,0.003,10000,7,-0.1316,0.2748,0.4065
Ksweep,0.3,0.003,10000,11,-0.1051,0.3103,0.4153
